"조사연도","기준연도","학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"2024","2023","ICT폴리텍대학","사립","경기","494292500","345050000","0","149242500","167270000","28560000","138710000","0","0","0","0","661562500"
"2024","2023","가야대학교(김해)","사립","경남","4830697828","4709585828","7876000","113236000","1893925885","502964160","766908100","136811642","0","14592000","472649983","6724623713"
"2024","2023","가천대학교","사립","경기","41176426709","39466611710","80007680","1629807319","28576487725","6389911200","9058852920","1477497265","0","128984800","11521241540","69752914434"
"2024","2023","가톨릭관동대학교","사립","강원","16619713888","15808727430","562775810","248210648","5150190571","1707343050","1217291614","370383470","0","91568500","1763603937","21769904459"
"2024","2023","가톨릭꽃동네대학교","사립","충북","1654221901","1545880941","1572960","106768000","574756910","115552000","125315000","90013542","0","0","243876368","2228978811"
"2024","2023","가톨릭대학교","사립","경기","17103695021","15858386921","66405360","1178902740","9591108894","3946848000","2953120000","609959574","0","25569000","2055612320","26694803915"
"2024","2023","가톨릭상지대학교","사립","경북","5060911441","5002911441","0","58000000","1754711840","201880000","40145000","30154340","0","15267000","1467265500","6815623281"
"2024","2023","감리교신학대학교","사립","서울","2306777509","2189330509","14000000","103447000","420799996","246207800","34295000","57463796","0","0","82833400","2727577505"
"2024","2023","강남대학교","사립","경기","14779396735","14590817135","45657600","142922000","5767781540","2298134330","1864000170","290019780","0","51484000","1264143260","20547178275"
"2024","2023","강동대학교","사립","충북","9553114534","9391953068","38019890","123141576","2866031127","124952000","460581527","46966534","0","23970000","2209561066","12419145661"
"2024","2023","강릉영동대학교","사립","강원","6922903669","6560109669","288891000","73903000","1654078775","232786000","300000","34974615","0","39298000","1346720160","8576982444"
"2024","2023","강서대학교","사립","서울","3416795731","3238411401","46966000","131418330","1955000000","259324000","495290365","261143576","0","26502000","912740059","5371795731"
"2024","2023","강원대학교","국공립","강원","42313415885","37160085052","2980036270","2173294563","13062458603","5149382510","2630115340","2466365615","0","0","2816595138","55375874488"
"2024","2023","강원도립대학교","국공립","강원","1171127965","1126522895","6244000","38361070","576039570","80200000","29035000","78095590","0","0","388708980","1747167535"
"2024","2023","거제대학교","사립","경남","3006156069","2981117789","4438280","20600000","1199872776","123468000","331388200","47464786","0","55185300","642366490","4206028845"
"2024","2023","건국대학교","사립","서울","30496771777","26721911112","493149472","3281711193","21041949126","6905762668","9440119202","851467507","0","111412000","3733187749","51538720903"
"2024","2023","건국대학교(글로컬)","사립","충북","17686560659","17019798864","185980320","480781475","9104399821","2288953630","1711934700","436830212","1000000","146066000","4519615279","26790960480"
